rank,file_count,directory_name,format_name
1,8817,"IFF-SMUS","IFF-SMUS"
2,1202,"AY Emul","AYEmul (UADE)"
3,818,"Musicline Editor","Musicline Editor"
4,749,"Delitracker Custom","DeliTrackerCustom (UADE)"
5,738,"TFMX","TFMX (mdat)"
6,365,"V2","V2"
7,357,"SoundFX","SoundFX"
8,252,"Sonic Arranger","SonicArranger (sa)"
9,212,"Art Of Noise","ArtOfNoise (aon)"
10,212,"BP SoundMon 2","SoundMon (bp)"
11,183,"FredMon","FredMon"
12,175,"Future Composer 1.3","Future Composer 1.3"
13,174,"Symphonie","Symphonie"
14,154,"Future Composer 1.4","Future Composer 1.4"
15,154,"Richard Joseph","RichardJoseph (rjp)"
16,122,"BP SoundMon 3","SoundMon (bp3)"
17,122,"David Whittaker","DavidWhittaker (dw)"
18,121,"Octalyser","Octalyser"
19,107,"SidMon 2","SidMon 2"
20,104,"His Master's Noise","His Master's Noise"
21,99,"Delta Music 2","DeltaMusic2 (dlm2)"
22,98,"Hippel ST COSO","Hippel ST COSO"
23,95,"Face The Music","Face The Music"
24,93,"Hippel COSO","Hippel COSO"
25,91,"Startrekker AM","Startrekker AM"
26,86,"Digital Mugician","DigitalMugician (dmu)"
27,82,"MaxTrax","MaxTrax"
28,77,"TFM Music Maker","TFM Music Maker"
29,70,"MusicMaker V8","MusicMaker V8"
30,64,"Hippel","Hippel"
31,64,"Jason Page","JasonPage (jpn)"
32,64,"Pretracker","Pretracker"
33,64,"Stonetracker","Stonetracker"
34,61,"Zoundmonitor","Zoundmonitor"
35,60,"Graoumf Tracker 2","Graoumf Tracker 2"
36,59,"SidMon 1","SidMon 1"
37,48,"JamCracker","JamCracker (jam)"
38,46,"Dave Lowe","DaveLowe (dl)"
39,45,"Ben Daglish","BenDaglish (bd)"
40,44,"HivelyTracker","HivelyTracker (hvl)"
41,44,"MIDI-Loriciel","MIDI-Loriciel"
42,44,"Pumatracker","Pumatracker"
43,42,"Dave Lowe New","DaveLoweNew (dln)"
44,38,"Jesper Olsen","JesperOlsen (jo)"
45,37,"Farandole Composer","Farandole Composer"
46,35,"Mark II","Mark II"
47,34,"Beathoven Synthesizer","BeathovenSynthesizer (bss)"
48,33,"AY Amadeus","AYAmadeus (UADE)"
49,31,"Digital Sound Studio","DigitalSoundStudio (dss)"
50,31,"Special FX","SpecialFX (jd)"
51,29,"Maniacs Of Noise","ManiacsOfNoise (mon)"
52,29,"Synth Dream","Synth Dream"
53,24,"Wally Beben","WallyBeben (wb)"
54,19,"Hippel ST","Hippel ST"
55,19,"Sound Master II v3","Sound Master II v3"
56,19,"Synth Pack","SynthPack (syn)"
57,18,"Jason Brooke","JasonBrooke (jcb)"
58,18,"Kris Hatlelid","KrisHatlelid (kh)"
59,18,"Quadra Composer","Quadra Composer"
60,18,"SoundControl","SoundControl"
61,17,"GlueMon","GlueMon"
62,17,"Paul Robotham","PaulRobotham (dat)"
63,16,"Sound Master","SoundMaster (sm)"
64,15,"Darius Zendeh","DariusZendeh (dz)"
65,15,"Rob Hubbard","Rob Hubbard"
66,15,"Speedy System","Speedy System"
67,15,"The Musical Enlightenment","The Musical Enlightenment"
68,14,"Fashion Tracker","FashionTracker (ex)"
69,14,"Paul Shields","PaulShields (ps)"
70,14,"Sean Conran","SeanConran (scr)"
71,14,"Silmarils","Silmarils (mok)"
72,14,"TSS","TSS"
73,13,"Digital Sonix And Chrome","DigitalSonixChrome (dsc)"
74,13,"Follin Player II","Follin Player II"
75,13,"Images Music System","ImagesMusicSystem (ims)"
76,12,"Hively Tracker","Hively Tracker"
77,11,"Audio Sculpture","AudioSculpture (adsc)"
78,11,"Multi Tracker","Multi Tracker"
79,11,"SoundFactory","SoundFactory"
80,10,"Delta Music","DeltaMusic (dlm1)"
81,10,"Music Assembler","MusicAssembler (ma)"
82,9,"Digital Mugician 2","DigitalMugician (dmu2)"
83,9,"Disorder Tracker 2","DisorderTracker2 (UADE)"
84,9,"Future Player","FuturePlayer (fp)"
85,9,"Jeroen Tel","JeroenTel (jt)"
86,9,"Mark Cooksey","MarkCooksey (mc)"
87,9,"Mike Davies","MikeDavies (md)"
88,9,"Ron Klaren","Ron Klaren"
89,9,"Sound Master II v1","Sound Master II v1"
90,8,"Ashley Hogg","AshleyHogg (ash)"
91,8,"David Hanney","DavidHanney (dh)"
92,8,"OctaMED MMDC","OctaMED MMDC"
93,7,"General DigiMusic","General DigiMusic"
94,7,"Jason Page Old","Jason Page Old"
95,7,"Mark Cooksey Old","Mark Cooksey Old"
96,7,"MusicMaker V8 Old","MusicMaker V8 Old"
97,7,"OctaMED MMD0","OctaMED MMD0"
98,7,"SunTronic","SunTronic"
99,6,"AHX","HivelyTracker (ahx)"
100,6,"Hippel 7V","Hippel 7V"
101,6,"InStereo! 2.0","InStereo! 2.0"
102,6,"Pollytracker","Pollytracker"
103,6,"Steve Barrett","SteveBarrett (sb)"
104,5,"Digi Trakker","DigiTrakker (UADE)"
105,5,"Forgotten Worlds","Forgotten Worlds"
106,5,"Mad Tracker 2","Mad Tracker 2"
107,4,"Ben Daglish SID","BenDaglish-SID (bds)"
108,4,"EarAche","EarAche"
109,4,"Fred Gray","FredGray (gray)"
110,4,"Leggless Music Editor","LME (lme)"
111,4,"Medley","Medley"
112,4,"Paul Summers","PaulSummers (snk)"
113,4,"Quartet PSG","Quartet PSG"
114,4,"Riff Raff","Riff Raff"
115,3,"Digibooster","DigiBooster (db)"
116,3,"Digibooster Pro","DigiBoosterPro (dbm)"
117,3,"Howie Davies","Howie Davies"
118,3,"InStereo!","InStereo!"
119,3,"Professional Sound Artists","PSA (psa)"
120,3,"Real Tracker","Real Tracker"
121,3,"Rob Hubbard ST","Rob Hubbard ST"
122,3,"Sean Connolly","SeanConnolly (s-c)"
123,3,"Speedy A1 System","SpeedyA1 (sas)"
124,2,"Composer 669","Composer669 (UADE)"
125,2,"Future Composer BSI","Future Composer BSI"
126,2,"Impulse Tracker","Impulse Tracker"
127,2,"Oktalyzer","Oktalyzer"
128,2,"Tomy Tracker","Tomy Tracker"
129,2,"Ultra Tracker","Ultra Tracker"
130,1,"AY STRC","AYSTRC (UADE)"
131,1,"Digital Symphony","DigitalSymphony (dsym)"
132,1,"OctaMED MMD1","OctaMED MMD1"
133,1,"OctaMED MMD3","OctaMED MMD3"
134,1,"Scream Tracker 2","Scream Tracker 2"
135,1,"Startrekker FLT8","Startrekker FLT8"
136,0,"OctaMED MMD2","OctaMED MMD2"
137,0,"untitled folder","untitled folder"
